time,read_ops,read_ops_per_sec,avg_read_latency,write_ops,write_ops_per_sec,avg_write_latency,read_errors,write_errors,memtable_size
3.537823833,84843,23981.69157226094,7545,85775,24245.130353838056, 196, 0, 0, 74864
3.6388742499999998,84915,23335.513723784217,7836,85812,23582.018532242495, 196, 0, 0, 76708
3.7400332499999998,84952,22714.236564608083,7989,85852,22954.876136462157, 196, 0, 0, 78692
3.840751417,84997,22130.304925172928,8189,85893,22363.592608420044, 196, 0, 0, 80730
3.941731458,85046,21575.797566674315,8414,85950,21805.138405752856, 196, 0, 0, 83566
4.042770958,85089,21047.19779675433,8627,85998,21272.043579373116, 196, 0, 0, 85958
4.1438375,85146,20547.620412238655,8904,86088,20774.945928743586, 195, 0, 0, 90442
4.244810833,85215,20075.0995397773,9211,86150,20295.3684838563, 195, 0, 0, 93524
4.346187083,85264,19618.115458837,9420,86190,19831.17577637879, 195, 0, 0, 95520
4.447270667,85313,19183.2263849031,9634,86229,19389.19540918511, 195, 0, 0, 97464
4.547727125,85357,18769.15603198158,9834,86278,18971.674779189838, 195, 0, 0, 99896
4.648808333,85401,18370.51430874726,10039,86341,18572.716665279648, 195, 0, 0, 103042
4.750043917,85461,17991.623128818326,10305,86399,18189.09498726641, 195, 0, 0, 105924
4.850913083,85512,17628.021474900543,10530,86458,17823.036306915415, 195, 0, 0, 108860
4.95172825,85567,17280.229382539317,10773,86519,17472.48549029321, 194, 0, 0, 111908
5.052957792,85624,16945.32262580198,11017,86578,17134.12293628753, 194, 0, 0, 114840
5.15399825,85679,16623.79299410899,11263,86649,16811.996395225786, 194, 0, 0, 118376
5.254899792,85725,16313.346285024649,11473,86688,16496.603823344612, 194, 0, 0, 120316
5.355845083,85772,16014.652901789317,11663,86724,16192.402628535849, 194, 0, 0, 122100
5.456834042,85826,15728.167530736131,11891,86776,15902.26115218184, 194, 0, 0, 124690
5.5583388750000005,85878,15450.299438607006,12140,86833,15622.11336026179, 194, 0, 0, 127524
