time,read_ops,read_ops_per_sec,avg_read_latency,write_ops,write_ops_per_sec,avg_write_latency,read_errors,write_errors,memtable_size
0,0,0,0,0,0, 0, 0, 0, 0
0.101976375,67483,661751.3124976251,150,67527,662182.7849832866, 150, 0, 0, 3230702
0.203172667,87735,431824.8182468363,149,88020,433227.56598947436, 201, 0, 0, 10504
0.303943167,87735,288655.9381017439,149,88020,289593.6134007579, 201, 0, 0, 10504
0.40511375,87736,216571.27164901217,150,88021,217274.7777630357, 201, 0, 0, 10552
0.505982125,87737,173399.40615491112,154,88021,173960.69080503588, 201, 0, 0, 10552
0.606964542,87738,144552.10136476142,158,88022,145020.00349140656, 201, 0, 0, 10600
0.708089709,87738,123908.0287212591,158,88022,124309.10784497787, 201, 0, 0, 10600
0.809255834,87740,108420.59619924841,172,88025,108772.7716029045, 201, 0, 0, 10744
0.910007167,87751,96428.91087252284,267,88031,96736.60075690372, 201, 0, 0, 11030
1.010999584,87936,86979.26427633427,1913,88219,87259.18526193974, 201, 0, 0, 20018
1.111963584,87986,79126.69197627249,2018,88259,79372.20361345935, 201, 0, 0, 21932
1.213081,88013,72553.27550262513,2077,88291,72782.44404124703, 201, 0, 0, 23458
1.314321584,88051,66993.49768876655,2181,88342,67214.90468956645, 201, 0, 0, 25886
1.41530275,88089,62240.393442321794,2311,88376,62443.176910381895, 200, 0, 0, 27516
1.5160224169999998,88123,58127.76843655341,2443,88414,58319.71810480162, 200, 0, 0, 29330
1.6169937920000002,88167,54525.255716009575,2621,88451,54700.89028022687, 200, 0, 0, 31098
1.717940542,88233,51359.75189064488,2991,88505,51518.08100236335, 200, 0, 0, 33682
1.819106209,88300,48540.32137493518,3380,88589,48699.19060344431, 200, 0, 0, 37686
1.9203676669999998,88353,46008.37720727987,3638,88646,46160.952156876745, 200, 0, 0, 40414
2.021191167,88397,43735.10108457742,3806,88692,43881.05462168784, 200, 0, 0, 42616
2.122031417,88452,41682.70049698326,4011,88741,41818.89075207787, 200, 0, 0, 44962
2.223028875,88505,39812.798203082275,4212,88794,39942.801012874836, 200, 0, 0, 47500
2.324068792,88563,38106.87545259203,4468,88864,38236.38969117055, 199, 0, 0, 50844
2.425506792,88620,36536.69422501456,4722,88924,36662.02885652443, 199, 0, 0, 53708
2.526125959,88673,35102.3668016548,4948,88997,35230.62643924163, 199, 0, 0, 57198
2.627094,88724,33772.67809983198,5148,89034,33890.6792067585, 199, 0, 0, 58966
2.728234584,88774,32538.99078936388,5350,89089,32654.450069092738, 199, 0, 0, 61598
2.829070584,88834,31400.418392671676,5612,89140,31508.58112347472, 199, 0, 0, 64036
2.929936292,88881,30335.471881311474,5788,89198,30443.66536007944, 199, 0, 0, 66806
3.031071375,88949,29345.729280294498,6075,89263,29449.323013714915, 198, 0, 0, 69916
3.131978834,89018,28422.28658560596,6337,89328,28521.265543137448, 198, 0, 0, 73026
3.232970209,89065,27548.97021694146,6514,89369,27643.001395810265, 198, 0, 0, 74986
3.334066084,89115,26728.624374801086,6721,89407,26816.205122345742, 198, 0, 0, 76806
3.4350745,89169,25958.38896652751,6934,89453,26041.065484897055, 198, 0, 0, 78996
3.536293959,89219,25229.52023627287,7144,89515,25313.223684977034, 198, 0, 0, 81956
3.637169,89268,24543.264280543466,7334,89558,24622.996621823182, 198, 0, 0, 84014
3.738315334,89331,23896.057988349465,7598,89635,23977.37804105746, 198, 0, 0, 87694
3.838960042,89382,23282.868022099618,7839,89696,23364.66100680503, 198, 0, 0, 90606
3.940118875,89436,22698.80753280572,8063,89768,22783.06894991842, 197, 0, 0, 94032
4.041011417,89484,22143.961193366755,8266,89819,22226.861231359893, 197, 0, 0, 96468
4.142064417,89536,21616.27415366196,8456,89875,21698.117400379386, 197, 0, 0, 99152
4.243992125,89595,21111.01938013139,8679,89931,21190.190120816966, 197, 0, 0, 101822
4.345202584,89659,20634.020685282736,8932,89988,20709.736372558506, 197, 0, 0, 104548
4.446131875,89705,20175.964753632055,9159,90032,20249.51182987572, 197, 0, 0, 106648
4.54705375,89760,19740.254884825146,9378,90073,19809.0906666762, 197, 0, 0, 108600
4.649381542,89802,19314.826969732912,9569,90112,19381.502504360393, 197, 0, 0, 110466
4.750129167,89847,18914.64354783934,9770,90153,18979.062848713478, 197, 0, 0, 112426
4.851297334,89906,18532.36233736895,10042,90207,18594.407596456756, 196, 0, 0, 115010
4.952140917,89963,18166.48627488966,10271,90252,18224.84487268479, 196, 0, 0, 117162
5.053001,90026,17816.343198823826,10489,90325,17875.51595576569, 196, 0, 0, 120650
5.154157834,90062,17473.659693906844,10654,90355,17530.5070023201, 196, 0, 0, 122082
5.255072125,90099,17145.15002969631,10799,90382,17199.002763449225, 196, 0, 0, 123374
5.356098667,90156,16832.400895724575,11056,90426,16882.81072138061, 196, 0, 0, 125478
5.45699825,90208,16530.699822012954,11289,90481,16580.727325686792, 196, 0, 0, 128106
5.558202834,90266,16240.141408268728,11540,90533,16288.178518099758, 196, 0, 0, 130596
5.659245417,90320,15959.724900546755,11790,90588,16007.081037319855, 196, 0, 0, 133228
5.759938792,90365,15688.534768027099,11957,90635,15735.41026614437, 195, 0, 0, 135474
5.86141075,90421,15426.490968919044,12175,90685,15471.531320339562, 195, 0, 0, 137870
5.962802834,90475,15173.233547839292,12377,90731,15216.16637777294, 195, 0, 0, 140074
6.063057125,90537,14932.56588770801,12656,90803,14976.438144643078, 195, 0, 0, 143516
6.16397175,90579,14694.908360019657,12839,90836,14736.602256491522, 195, 0, 0, 145086
6.2650496669999995,90625,14465.168644607971,13039,90903,14509.541796422602, 195, 0, 0, 148282
6.36605575,90666,14242.099592043314,13204,90936,14284.512038714081, 195, 0, 0, 149858
6.466939709,90703,14025.644908018734,13359,90969,14066.777191907171, 195, 0, 0, 151434
6.568248375,90757,13817.534724392941,13611,91021,13857.728088731115, 195, 0, 0, 153916
6.669103667,90812,13616.822369901842,13877,91068,13655.208337909316, 195, 0, 0, 156162
6.770083417,90860,13420.80952383042,14115,91126,13460.10002937014, 194, 0, 0, 158936
6.87136775,90905,13229.53497868019,14312,91162,13266.93655713595, 194, 0, 0, 160654
6.972117,90937,13042.953811589794,14455,91182,13078.093784140456, 194, 0, 0, 161610
