time,read_ops,read_ops_per_sec,avg_read_latency,write_ops,write_ops_per_sec,avg_write_latency,read_errors,write_errors,memtable_size
0,0,0,0,0,0, 0, 0, 0, 0
0.101830166,75887,745231.0349764136,133,76057,746900.4813367387, 133, 0, 0, 3486578
0.202905041,91027,448618.7211090532,137,91816,452507.2395811004, 183, 0, 0, 8756
0.304013125,91029,299424.5725410704,140,91816,302013.27656495094, 183, 0, 0, 8756
0.404821791,91030,224864.37742181722,142,91816,226805.97250754223, 183, 0, 0, 8756
0.506269875,91033,179811.2123499349,152,91818,181361.7687601894, 183, 0, 0, 8848
0.607103166,91034,149948.15559897773,156,91819,151241.18130525446, 183, 0, 0, 8894
0.707849,91036,128609.350299287,167,91819,129715.51842271446, 183, 0, 0, 8894
0.808921541,91038,112542.43506416897,180,91821,113510.39049657351, 183, 0, 0, 8986
0.910000333,91092,100101.06227071017,625,91877,100963.69931767926, 183, 0, 0, 11546
1.010890541,91232,90249.13806172414,1794,92012,91020.7349541319, 182, 0, 0, 17720
1.111928583,91238,82053.83096982587,1831,92016,82753.51619412412, 182, 0, 0, 17902
1.212833166,91326,75299.72180856406,2084,92092,75931.30084307077, 182, 0, 0, 21372
1.31394875,91350,69523.25956396702,2139,92103,70096.34127662894, 182, 0, 0, 21872
1.415301916,91385,64569.26184222024,2243,92135,65099.184109350135, 182, 0, 0, 23340
1.516020916,91419,60301.93847272751,2352,92159,60790.0583872947, 182, 0, 0, 24442
1.616918125,91470,56570.58238493059,2532,92217,57032.572382105, 182, 0, 0, 27094
1.718033666,91516,53267.87350626923,2723,92272,53707.91144904142, 182, 0, 0, 29614
1.819008,91589,50351.07047357681,3067,92366,50778.226373935686, 182, 0, 0, 33922
1.9200392910000001,91673,47745.37710228556,3476,92436,48142.76480345213, 182, 0, 0, 37118
2.020874666,91730,45391.2365488578,3745,92483,45763.84748444365, 182, 0, 0, 39264
2.122164541,91775,43245.93980670041,3864,92524,43598.88133669462, 181, 0, 0, 41142
2.222972875,91830,41309.54589358181,4047,92577,41645.582382556066, 181, 0, 0, 43570
2.324125541,91888,39536.59059246146,4271,92625,39853.6991079003, 181, 0, 0, 45770
2.425056666,91952,37917.464482044394,4506,92684,38219.31309872327, 181, 0, 0, 48470
2.525831,92014,36429.198944822514,4776,92739,36716.233192165266, 181, 0, 0, 50990
2.626965833,92075,35049.94196854482,4998,92797,35324.78376166227, 181, 0, 0, 53642
2.728302083,92125,33766.42219130688,5171,92852,34032.888285560126, 181, 0, 0, 56158
2.829061791,92189,32586.421510225686,5403,92911,32841.6297924544, 181, 0, 0, 58860
2.93012175,92256,31485.38111087022,5645,92973,31730.080840497496, 181, 0, 0, 61704
3.031069375,92315,30456.247805281593,5852,93038,30694.777482617006, 180, 0, 0, 64680
3.132141416,92384,29495.475372878245,6101,93094,29722.157347189204, 180, 0, 0, 67236
3.232934791,92432,28590.74060426974,6269,93149,28812.52051829585, 180, 0, 0, 69758
3.333928125,92471,27736.350794905036,6385,93197,27954.111938151036, 180, 0, 0, 71950
3.435089583,92526,26935.542076662052,6625,93236,27142.232465033212, 180, 0, 0, 73730
3.5359042499999997,92584,26183.966944240645,6856,93302,26387.026741462247, 180, 0, 0, 76738
3.6370245,92635,25469.99614657531,7055,93334,25662.18621843213, 180, 0, 0, 78200
